,MATCHUP,GAME_ID,TEAM_ID,W,L,W_PCT,day_in_month,day_in_week
0,10,22200005,1610612737,0.0,0.0,0.0,19,3
1,21,22200020,1610612737,1.0,0.0,1.0,21,5
2,3,22200038,1610612737,2.0,0.0,1.0,23,0
3,8,22200057,1610612737,2.0,1.0,0.667,26,3
4,8,22200070,1610612737,3.0,1.0,0.75,28,5
5,16,22200085,1610612737,4.0,1.0,0.8,29,6
6,27,22200099,1610612737,4.0,2.0,0.667,31,1
7,19,22200110,1610612737,4.0,3.0,0.571,2,3
8,18,22200134,1610612737,5.0,3.0,0.625,5,6
9,16,22200149,1610612737,6.0,3.0,0.667,7,1
10,28,22200162,1610612737,7.0,3.0,0.7,9,3
11,22,22200173,1610612737,7.0,4.0,0.636,10,4
12,22,22200188,1610612737,8.0,4.0,0.667,12,6
13,16,22200204,1610612737,8.0,5.0,0.615,14,1
14,2,22200214,1610612737,9.0,5.0,0.643,16,3
0,22,22200001,1610612738,0.0,0.0,0.0,18,2
1,15,22200022,1610612738,1.0,0.0,1.0,21,5
2,21,22200030,1610612738,2.0,0.0,1.0,22,6
3,4,22200047,1610612738,3.0,0.0,1.0,24,1
4,5,22200072,1610612738,3.0,1.0,0.75,28,5
5,29,22200089,1610612738,3.0,2.0,0.6,30,0
6,5,22200107,1610612738,4.0,2.0,0.667,2,3
7,4,22200124,1610612738,4.0,3.0,0.571,4,5
8,19,22200135,1610612738,5.0,3.0,0.625,5,6
9,14,22200152,1610612738,6.0,3.0,0.667,7,1
10,8,22200163,1610612738,7.0,3.0,0.7,9,3
11,7,22200176,1610612738,8.0,3.0,0.727,11,5
12,8,22200186,1610612738,9.0,3.0,0.75,12,6
13,20,22200201,1610612738,10.0,3.0,0.769,14,1
14,0,22200214,1610612738,11.0,3.0,0.786,16,3
0,27,22200008,1610612739,0.0,0.0,0.0,19,3
1,4,22200032,1610612739,0.0,1.0,0.0,22,6
2,29,22200039,1610612739,1.0,1.0,0.5,23,0
3,21,22200056,1610612739,2.0,1.0,0.667,26,3
4,2,22200072,1610612739,3.0,1.0,0.75,28,5
5,19,22200090,1610612739,4.0,1.0,0.8,30,0
6,2,22200107,1610612739,5.0,1.0,0.833,2,3
7,8,22200120,1610612739,6.0,1.0,0.857,4,5
8,13,22200140,1610612739,7.0,1.0,0.875,6,0
9,12,22200158,1610612739,8.0,1.0,0.889,7,1
10,25,22200171,1610612739,8.0,2.0,0.8,9,3
11,9,22200182,1610612739,8.0,3.0,0.727,11,5
12,17,22200193,1610612739,8.0,4.0,0.667,13,0
13,16,22200216,1610612739,8.0,5.0,0.615,16,3
0,1,22200006,1610612740,0.0,0.0,0.0,19,3
1,3,22200017,1610612740,1.0,0.0,1.0,21,5
2,28,22200040,1610612740,2.0,0.0,1.0,23,0
3,6,22200053,1610612740,2.0,1.0,0.667,25,2
4,23,22200079,1610612740,3.0,1.0,0.75,28,5
5,12,22200088,1610612740,3.0,2.0,0.6,30,0
6,13,22200117,1610612740,4.0,2.0,0.667,2,3
7,9,22200128,1610612740,4.0,3.0,0.571,4,5
8,0,22200134,1610612740,5.0,3.0,0.625,5,6
9,11,22200147,1610612740,5.0,4.0,0.556,7,1
10,4,22200166,1610612740,5.0,5.0,0.5,9,3
11,24,22200175,1610612740,6.0,5.0,0.545,10,4
12,10,22200191,1610612740,6.0,6.0,0.5,12,6
13,14,22200206,1610612740,7.0,6.0,0.538,15,2
14,4,22200217,1610612740,8.0,6.0,0.571,16,3
0,15,22200007,1610612741,0.0,0.0,0.0,19,3
1,29,22200019,1610612741,1.0,0.0,1.0,21,5
2,5,22200032,1610612741,1.0,1.0,0.5,22,6
