,WL,SEASON_ID,GAME_ID,GAME_DATE,TEAM_ID,TEAM_NAME,TEAM_ID_2,TEAM_NAME_2
0,A,22022,22200002,2022-10-18,1610612747,Los Angeles Lakers,1610612744,Golden State Warriors
1,A,22022,22200001,2022-10-18,1610612755,Philadelphia 76ers,1610612738,Boston Celtics
2,H,22022,22200012,2022-10-19,1610612762,Utah Jazz,1610612743,Denver Nuggets
3,H,22022,22200013,2022-10-19,1610612756,Phoenix Suns,1610612742,Dallas Mavericks
4,H,22022,22200014,2022-10-19,1610612757,Portland Trail Blazers,1610612758,Sacramento Kings
5,A,22022,22200003,2022-10-19,1610612753,Orlando Magic,1610612765,Detroit Pistons
6,A,22022,22200005,2022-10-19,1610612745,Houston Rockets,1610612737,Atlanta Hawks
7,A,22022,22200006,2022-10-19,1610612751,Brooklyn Nets,1610612740,New Orleans Pelicans
8,A,22022,22200007,2022-10-19,1610612748,Miami Heat,1610612741,Chicago Bulls
9,H,22022,22200009,2022-10-19,1610612763,Memphis Grizzlies,1610612752,New York Knicks
10,A,22022,22200008,2022-10-19,1610612739,Cleveland Cavaliers,1610612761,Toronto Raptors
11,A,22022,22200010,2022-10-19,1610612760,Oklahoma City Thunder,1610612750,Minnesota Timberwolves
12,A,22022,22200011,2022-10-19,1610612759,San Antonio Spurs,1610612766,Charlotte Hornets
13,H,22022,22200004,2022-10-19,1610612764,Washington Wizards,1610612754,Indiana Pacers
14,H,22022,22200015,2022-10-20,1610612749,Milwaukee Bucks,1610612755,Philadelphia 76ers
15,A,22022,22200016,2022-10-20,1610612747,Los Angeles Lakers,1610612746,LA Clippers
16,H,22022,22200021,2022-10-21,1610612751,Brooklyn Nets,1610612761,Toronto Raptors
17,H,22022,22200017,2022-10-21,1610612740,New Orleans Pelicans,1610612766,Charlotte Hornets
18,H,22022,22200018,2022-10-21,1610612759,San Antonio Spurs,1610612754,Indiana Pacers
19,A,22022,22200019,2022-10-21,1610612741,Chicago Bulls,1610612764,Washington Wizards
